title,gener,year,rating,duration,directors,writers,lead_actors,release_date,locations,user_reviews,critic_reviews,meta_score,url
A Million a Minute,Drama,1916,,,John W. Noble,,"Francis X. Bushman,Beverly Bayne,Robert Cummings","May 8, 1916 (United States)",,,,,https://www.imdb.com/title/tt0007065/?ref_=adv_li_tt
Live Sparks,"Comedy,Drama",1920,,,Ernest C. Warde,,"J. Warren Kerrigan,Mae Talbot,Roy Laidlaw","January 18, 1920 (United States)",,,,,https://www.imdb.com/title/tt0196706/?ref_=adv_li_tt
Vive la France!,"Drama,War",1918,,,Roy William Neill,,"Dorothy Dalton,Edmund Lowe,Fred Starr","September 15, 1918 (United States)",,,,,https://www.imdb.com/title/tt0009766/?ref_=adv_li_tt
Women Men Forget,Drama,1920,,,John M. Stahl,,"Mollie King,Edward Langford,Frank Mills","March 21, 1920 (United States)",,,,,https://www.imdb.com/title/tt0011879/?ref_=adv_li_tt
An Alien Enemy,"Drama,War",1918,,,Wallace Worsley,,"Louise Glaum,Mary Jane Irving,Thurston Hall","April 1, 1918 (United States)",,,,,https://www.imdb.com/title/tt0182693/?ref_=adv_li_tt
The Plow Girl,"Crime,Drama,Romance",1916,Passed,50m,Robert Z. Leonard,,"Mae Murray,Elliott Dexter,Theodore Roberts","November 13, 1916 (United States)",,,,,https://www.imdb.com/title/tt0007192/?ref_=adv_li_tt
Die Bettelgräfin,Drama,1918,,,Joe May,,"Theodor Burghardt,Mia May,Heinrich Peer","May 13, 1919 (Denmark)",,,,,https://www.imdb.com/title/tt0157384/?ref_=adv_li_tt
A Rosa do Adro,"Drama,Romance",1919,,,George Pallu,,"Maria de Oliveira,Carlos Santos,Erico Braga",1919 (Brazil),,1,,,https://www.imdb.com/title/tt0010641/?ref_=adv_li_tt
Shri Krishna Leela,,1920,,,Gajanan V. Sane,,,1920 (India),,,,,https://www.imdb.com/title/tt0393768/?ref_=adv_li_tt
You Never Can Tell,"Comedy,Romance",1920,,,Chester M. Franklin,,"Bebe Daniels,Jack Mulhall,Edward Martindel","September 22, 1920 (United States)",,,,,https://www.imdb.com/title/tt0011891/?ref_=adv_li_tt
With Hoops of Steel,Western,1918,,,Eliot Howe,,"Henry B. Walthall,William De Vaull,Mary Charleson","April 29, 1918 (United States)",,,,,https://www.imdb.com/title/tt0010904/?ref_=adv_li_tt
An Enemy to Society,Drama,1915,TV-PG,50m,Edgar Jones,,"Hamilton Revelle,William Cowper,L.M. Horne","September 15, 1915 (United States)",,,,,https://www.imdb.com/title/tt0005245/?ref_=adv_li_tt
The Imp,"Crime,Drama",1919,,,Robert Ellis,,"Elsie Janis,Joe King,Ethel Stewart","February 15, 1919 (United States)",,,,,https://www.imdb.com/title/tt0190475/?ref_=adv_li_tt
Modern Love,"Drama,Romance",1918,,,Robert Z. Leonard,,"Mae Murray,Philo McCullough,Arthur Shirley","September 9, 1918 (United States)",,,,,https://www.imdb.com/title/tt0009384/?ref_=adv_li_tt
A Girl of the Timber Claims,Drama,1917,,,Paul Powell,,"Constance Talmadge,Allan Sears,Clyde E. Hopkins","February 11, 1917 (United States)",,1,,,https://www.imdb.com/title/tt0008010/?ref_=adv_li_tt
The Diamond Runners,"Crime,Drama",1916,,,J.P. McGowan,,"Helen Holmes,Paul Hurst,Leo D. Maloney","August 28, 1916 (United States)",,,,,https://www.imdb.com/title/tt0157538/?ref_=adv_li_tt
The Feud Girl,Drama,1916,,,Frederick A. Thomson,,"Hazel Dawn,Irving Cummings,Arthur Morrison","May 14, 1916 (United States)",,,,,https://www.imdb.com/title/tt0006675/?ref_=adv_li_tt
Eine Fliegenjagd oder Die Rache der Frau Schultze,,1905,,,Eugen Skladanowsky,,"Frida Cotrelli,Eugen Skladanowsky","November 15, 1913 (Germany)",,,,,https://www.imdb.com/title/tt0295963/?ref_=adv_li_tt
La iena dell'oro,,1913,,,Roberto Roberti,,,1913 (Italy),,,,,https://www.imdb.com/title/tt0933039/?ref_=adv_li_tt
Love and the Law,"War,Drama",1919,,,Edgar Lewis,,"Glen White,Josephine Hill,Arnold Storrer","March 2, 1919 (United States)",,,,,https://www.imdb.com/title/tt0191256/?ref_=adv_li_tt
Aloha Oe,Drama,1915,,,Richard Stanton,,"Willard Mack,Enid Markey,Margaret Thompson","December 12, 1915 (United States)",,,,,https://www.imdb.com/title/tt0004883/?ref_=adv_li_tt
The Light Within,Drama,1918,,,Laurence Trimble,,"Olga Petrova,Lumsden Hare,Thomas Holding",February 1918 (United States),,,,,https://www.imdb.com/title/tt0009300/?ref_=adv_li_tt
Lovely Mary,Drama,1916,,,Edgar Jones,,"Mary Miles Minter,Frank DeVernon,Russell Simpson","March 13, 1916 (United States)",,1,,,https://www.imdb.com/title/tt0006958/?ref_=adv_li_tt
All of a Sudden Peggy,"Comedy,Romance",1920,,,Walter Edwards,,"Marguerite Clark,Jack Mulhall,Lillian Leighton","February 1, 1920 (United States)",,1,,,https://www.imdb.com/title/tt0010957/?ref_=adv_li_tt
Liberty Hall,"Comedy,Drama",1914,,,Harold M. Shaw,,"Ben Webster,Edna Flugrath,O.B. Clarence",February 1915 (United States),,,,,https://www.imdb.com/title/tt0332682/?ref_=adv_li_tt
Tinsel,Drama,1918,,,Oscar Apfel,,"Kitty Gordon,Muriel Ostriche,Frank Mayo","July 8, 1918 (United States)",,,,,https://www.imdb.com/title/tt0009704/?ref_=adv_li_tt
Peer Gynt,,1919,,,Victor Barnowsky,,"Heinz Salfner,Ilka Grüning,Lina Lossen","April 6, 1919 (Germany)",,,,,https://www.imdb.com/title/tt0009483/?ref_=adv_li_tt
The Slim Princess,"Comedy,Drama",1920,,,Victor Schertzinger,,"Mabel Normand,Hugh Thompson,Tully Marshall",July 1920 (United States),,,,,https://www.imdb.com/title/tt0011709/?ref_=adv_li_tt
Das ganze Sein ist flammend Leid,Drama,1920,,,Ottmar Ostermayr,,"Fritz Greiner,Bela Lugosi,Alice Matay",September 1920 (Germany),,,,,https://www.imdb.com/title/tt1339094/?ref_=adv_li_tt
